2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175694_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconLateral:beaconShape=
2023-07-03 12:33:30,106 WARN  [S57ToS101Converter] S101 Specification : Relationship not found from BeaconLateral-540_29175694_1 to RadarReflector-1810_117968329_2
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175051_1 : Attribute type CATBRG has been removed from the S101 feature type SpanFixed
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175482_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconSpecialPurposeGeneral:beaconShape=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175482_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconSpecialPurposeGeneral:beaconShape=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175687_1 : Attribute type COLOUR has been removed from the S101 feature type BeaconSpecialPurposeGeneral
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175687_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconSpecialPurposeGeneral:beaconShape=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175687_1 : Attribute type COLOUR has been removed from the S101 feature type BeaconSpecialPurposeGeneral
2023-07-03 12:33:30,114 INFO  [AttributeConverterImpl] 540_29175687_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconSpecialPurposeGeneral:beaconShape=
2023-07-03 12:33:30,114 INFO  [AttributeConverterImpl] 540_29175690_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconSpecialPurposeGeneral:beaconShape=
2023-07-03 12:33:30,114 INFO  [AttributeConverterImpl] 540_29175690_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconSpecialPurposeGeneral:beaconShape=
2023-07-03 12:33:30,114 INFO  [AttributeConverterImpl] 540_29175359_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value LightAllAround:lightCharacteristic=
2023-07-03 12:33:30,114 INFO  [AttributeConverterImpl] 540_29175680_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:30,114 INFO  [AttributeConverterImpl] 540_29175542_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,114 INFO  [AttributeConverterImpl] 540_29175644_1 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:30,114 INFO  [AttributeConverterImpl] 540_29175644_1 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:30,114 INFO  [AttributeConverterImpl] 540_29175644_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value UnderwaterAwashRock:valueOfSounding=
2023-07-03 12:33:30,114 INFO  [AttributeConverterImpl] 540_29175645_1 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:30,114 INFO  [AttributeConverterImpl] 540_29175645_1 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
