2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141897_1 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141897_1 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141053_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141289_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141688_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141689_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141693_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141694_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141697_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141698_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141699_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29143619_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29143622_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:28,946 WARN  [AttributeConverterImpl] Valeur S57 [circular (non-directional) marine or aero-marine radiobeacon (1)] non convertie(s) pour categoryOfRadioStation de RadioStation 540_29141665_1
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141665_1 : Attribute type CATROS has been removed from the S101 feature type RadioStation
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141334_1 : Attribute type CATBRG has been removed from the S101 feature type SpanFixed
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141334_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value SpanFixed:verticalClearanceValue=
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141995_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value NavigationLine:categoryOfNavigationLine=
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29142004_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29142007_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconSpecialPurposeGeneral:beaconShape=
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29142007_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconSpecialPurposeGeneral:beaconShape=
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141657_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29141658_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29141659_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29141567_1 : Setting attribute value as empty for an unexisting s101 attribute value SlopeTopline:categoryOfSlope=4
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29141567_1 : Removing a non-mandatory empty numeric value SlopeTopline:categoryOfSlope=
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29141566_1 : Setting attribute value as empty for an unexisting s101 attribute value SlopeTopline:categoryOfSlope=4
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29141566_1 : Removing a non-mandatory empty numeric value SlopeTopline:categoryOfSlope=
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29141332_1 : Attribute type CATBRG has been removed from the S101 feature type SpanFixed
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29141332_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value SpanFixed:verticalClearanceValue=
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29142185_1 : Attribute type CATBRG has been removed from the S101 feature type SpanFixed
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29142185_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value SpanFixed:verticalClearanceValue=
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29143629_1 : Attribute type CATBRG has been removed from the S101 feature type SpanFixed
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29143629_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value SpanFixed:verticalClearanceValue=
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29142296_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29141096_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29142549_1 : Attribute type COLOUR has been removed from the S101 feature type BeaconSpecialPurposeGeneral
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29142549_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconSpecialPurposeGeneral:beaconShape=
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29142549_1 : Attribute type COLOUR has been removed from the S101 feature type BeaconSpecialPurposeGeneral
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29142549_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconSpecialPurposeGeneral:beaconShape=
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29142548_1 : Attribute type COLOUR has been removed from the S101 feature type BeaconSpecialPurposeGeneral
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29142548_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconSpecialPurposeGeneral:beaconShape=
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29142548_1 : Attribute type COLOUR has been removed from the S101 feature type BeaconSpecialPurposeGeneral
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29142548_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconSpecialPurposeGeneral:beaconShape=
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29142544_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29142541_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:28,961 INFO  [AttributeConverterImpl] 540_29142387_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconCardinal:beaconShape=
