2023-10-20 06:50:23,615 INFO  [AttributeConverterImpl] 540_29175364_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value SpanFixed:verticalClearanceValue=
2023-10-20 06:50:23,616 INFO  [AttributeConverterImpl] 540_29175650_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,616 INFO  [AttributeConverterImpl] 540_29175650_1 : Attribute type SECTR1 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,617 INFO  [AttributeConverterImpl] 540_29175650_1 : Attribute type SECTR2 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,617 INFO  [AttributeConverterImpl] 540_29175649_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,617 INFO  [AttributeConverterImpl] 540_29175649_1 : Attribute type SECTR1 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,617 INFO  [AttributeConverterImpl] 540_29175649_1 : Attribute type SECTR2 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,617 INFO  [AttributeConverterImpl] 540_29175648_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,617 INFO  [AttributeConverterImpl] 540_29175648_1 : Attribute type SECTR1 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,618 INFO  [AttributeConverterImpl] 540_29175648_1 : Attribute type SECTR2 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,618 INFO  [AttributeConverterImpl] 540_29175594_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,618 INFO  [AttributeConverterImpl] 540_29175594_1 : Attribute type SECTR1 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,618 INFO  [AttributeConverterImpl] 540_29175594_1 : Attribute type SECTR2 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,618 INFO  [AttributeConverterImpl] 540_29175595_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,619 INFO  [AttributeConverterImpl] 540_29175595_1 : Attribute type SECTR1 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,619 INFO  [AttributeConverterImpl] 540_29175595_1 : Attribute type SECTR2 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,619 INFO  [AttributeConverterImpl] 540_29175596_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,619 INFO  [AttributeConverterImpl] 540_29175596_1 : Attribute type SECTR1 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,619 INFO  [AttributeConverterImpl] 540_29175596_1 : Attribute type SECTR2 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,620 INFO  [AttributeConverterImpl] 540_29175392_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,620 INFO  [AttributeConverterImpl] 540_29175392_1 : Attribute type SECTR1 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,620 INFO  [AttributeConverterImpl] 540_29175392_1 : Attribute type SECTR2 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,620 INFO  [AttributeConverterImpl] 540_29175391_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,621 INFO  [AttributeConverterImpl] 540_29175391_1 : Attribute type SECTR1 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,621 INFO  [AttributeConverterImpl] 540_29175391_1 : Attribute type SECTR2 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,621 INFO  [AttributeConverterImpl] 540_29175390_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,621 INFO  [AttributeConverterImpl] 540_29175390_1 : Attribute type SECTR1 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,621 INFO  [AttributeConverterImpl] 540_29175390_1 : Attribute type SECTR2 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,623 INFO  [AttributeConverterImpl] 540_29175498_1 : Attribute type VALSOU has been removed from the S101 feature type Obstruction
2023-10-20 06:50:23,623 INFO  [AttributeConverterImpl] 540_29175497_1 : Attribute type VALSOU has been removed from the S101 feature type Obstruction
2023-10-20 06:50:23,623 INFO  [AttributeConverterImpl] 540_29175360_1 : Attribute type VALSOU has been removed from the S101 feature type Obstruction
2023-10-20 06:50:23,623 INFO  [AttributeConverterImpl] 540_29175358_1 : Attribute type VALSOU has been removed from the S101 feature type Obstruction
2023-10-20 06:50:23,623 INFO  [AttributeConverterImpl] 540_29175618_1 : Attribute type VALSOU has been removed from the S101 feature type Obstruction
2023-10-20 06:50:23,624 INFO  [AttributeConverterImpl] 540_29175620_1 : Attribute type VALSOU has been removed from the S101 feature type Obstruction
2023-10-20 06:50:23,624 INFO  [AttributeConverterImpl] 540_29175684_1 : Attribute type VALSOU has been removed from the S101 feature type Obstruction
2023-10-20 06:50:23,624 INFO  [AttributeConverterImpl] 540_29175683_1 : Attribute type VALSOU has been removed from the S101 feature type Obstruction
2023-10-20 06:50:23,624 INFO  [AttributeConverterImpl] 540_29175501_1 : Attribute type BCNSHP has been removed from the S101 feature type BeaconLateral
2023-10-20 06:50:23,624 INFO  [AttributeConverterImpl] 540_29175496_1 : Attribute type BCNSHP has been removed from the S101 feature type BeaconLateral
2023-10-20 06:50:23,624 INFO  [AttributeConverterImpl] [rock (9)] not converted for natureOfSurface of UnderwaterAwashRock 540_29175495_1
2023-10-20 06:50:23,624 INFO  [AttributeConverterImpl] 540_29175495_1 : Attribute type NATSUR has been removed from the S101 feature type UnderwaterAwashRock
2023-10-20 06:50:23,624 INFO  [AttributeConverterImpl] 540_29175495_1 : Attribute type VALSOU has been removed from the S101 feature type UnderwaterAwashRock
2023-10-20 06:50:23,625 INFO  [AttributeConverterImpl] 540_29175692_1 : Attribute type BCNSHP has been removed from the S101 feature type BeaconLateral
2023-10-20 06:50:23,625 INFO  [AttributeConverterImpl] 540_29175694_1 : Attribute type BCNSHP has been removed from the S101 feature type BeaconLateral
2023-10-20 06:50:23,626 INFO  [AttributeConverterImpl] 540_29175051_1 : Attribute type CATBRG has been removed from the S101 feature type SpanFixed
