2023-07-03 12:33:31,491 WARN  [S57ToS101Converter] No S101 feature type for the S57 feature type T_NHMN
2023-07-03 12:33:31,491 WARN  [S57ToS101Converter] No S101 feature type for the S57 feature type T_HMON
2023-07-03 12:33:31,491 WARN  [S57ToS101Converter] No S101 feature type for the S57 feature type TS_PNH
2023-07-03 12:33:31,491 WARN  [S57ToS101Converter] No S101 feature type for the S57 feature type TS_PRH
2023-07-03 12:33:31,491 WARN  [S57ToS101Converter] No S101 feature type for the S57 feature type TS_PNH
2023-07-03 12:33:31,491 WARN  [S57ToS101Converter] No S101 feature type for the S57 feature type TS_PRH
2023-07-03 12:33:31,491 WARN  [S57ToS101Converter] No S101 feature type for the S57 feature type CTRPNT
2023-07-03 12:33:31,491 WARN  [S57ToS101Converter] No S101 feature type for the S57 feature type TS_TIS
2023-07-03 12:33:31,491 WARN  [S57ToS101Converter] No S101 feature type for the S57 feature type TS_TIS
2023-07-03 12:33:31,491 INFO  [S57ToS101] Writing 101AA005OTHER.000 to ./data-references/dataConverted/s164/Conversion-1.1.5/3.1 ENC Display/Other/S100_ROOT/S-101/DATASET_FILES
2023-07-03 12:33:31,523 INFO  [CheckS101] * Checking dataSet '101AA005OTHER'...
2023-07-03 12:33:31,523 INFO  [CheckS101] ** Checking dataSet '101AA005OTHER' consistency to the dictionary...
2023-07-03 12:33:31,523 INFO  [CheckS101] ** End of dataSet '101AA005OTHER' consistency to the dictionary check
2023-07-03 12:33:31,523 INFO  [CheckS101] ** Checking dataSet '101AA005OTHER' group 1...
2023-07-03 12:33:31,523 INFO  [CheckS101] *** '101AA005OTHER.000' group 1 OK
2023-07-03 12:33:31,523 INFO  [CheckS101] ** End of dataSet '101AA005OTHER' group 1 check
2023-07-03 12:33:31,523 INFO  [CheckS101] * End of dataSet '101AA005OTHER' check
